epoch,train loss,train acc,test loss,test acc
110,2.418227502,37.186,2.480447745,36.88
111,2.411102185,37.468,2.459357147,36.89
112,2.400847083,37.646,2.4471005,37.58
113,2.400377913,37.614,2.443737031,37.57
114,2.392248274,37.808,2.451759119,37.83
115,2.383986389,38.062,2.428502089,38.27
116,2.377481358,38.226,2.419878999,38.43
117,2.3724122,38.45,2.421880448,37.96
118,2.367032054,38.424,2.434260179,37.83
119,2.365190037,38.272,2.432612039,37.8
120,2.363567333,38.352,2.425320381,38
121,2.359516994,38.606,2.417408679,38.12
122,2.354667591,38.71,2.406667562,38.22
123,2.352932499,38.558,2.427530715,38.15
124,2.347554149,38.896,2.398152244,38.98
125,2.349099713,38.562,2.413595439,38.54
126,2.347497608,38.604,2.404974616,38.39
127,2.342011367,39.024,2.407112496,38.53
128,2.340667706,38.958,2.429340167,37.83
129,2.335872857,38.85,2.393679372,38.93
130,2.336503606,39.056,2.389489578,38.69
131,2.333953428,38.91,2.405887306,38.76
132,2.334185278,38.852,2.396910122,38.77
133,2.324546346,39.144,2.383503113,39.14
134,2.323632095,39.166,2.397672822,38.87
135,2.325050459,39.352,2.385122387,39.19
136,2.321634346,39.202,2.406540515,38.88
137,2.324712553,39.068,2.395746637,38.96
138,2.319361596,39.23,2.416819633,38.57
139,2.322949378,39.186,2.370031191,39.35
140,2.323832148,38.996,2.373323072,39.54
141,2.30587235,39.556,2.391657741,38.7
142,2.315477094,39.316,2.378990488,39.34
143,2.307515727,39.436,2.384746804,39
