iteration,train loss,train acc,test loss,test acc
102,4.663192749,3.125,4.523915768,6.25
103,4.629324913,0,4.455089569,3.125
104,4.652470589,0,4.614256382,0
105,4.624715328,0,4.569238663,0
106,4.588993549,6.25,4.520476341,3.125
107,4.661475182,0,4.582366467,3.125
108,4.636614799,3.125,4.501928806,0
109,4.64957428,0,4.580802917,6.25
110,4.666406155,3.125,4.458088398,0
111,4.651884556,0,4.543073177,0
112,4.652597427,0,4.613472462,0
113,4.630586147,0,4.570220947,0
114,4.643742561,3.125,4.47516346,3.125
115,4.624233723,0,4.63761425,0
116,4.597086906,0,4.336654663,3.125
117,4.556521416,9.375,4.599983692,0
118,4.659790039,0,4.518064499,0
119,4.538761139,0,4.633293152,0
120,4.657402992,0,4.620641708,0
121,4.643471241,3.125,4.533736229,3.125
122,4.645761013,0,4.649082661,0
123,4.637313366,3.125,4.559957504,0
124,4.667535305,0,4.423098087,0
125,4.608982563,3.125,4.504121304,0
126,4.639332294,0,4.459667206,0
127,4.645500183,0,4.487145901,0
128,4.580299377,9.375,4.514134407,0
129,4.628910542,0,4.449739456,0
130,4.537277699,3.125,4.44288969,0
131,4.674846649,0,4.561705589,0
132,4.706371784,0,4.624753475,3.125
133,4.557342052,3.125,4.514267921,0
134,4.676263809,0,4.502446651,0
135,4.608938694,0,4.49540472,3.125
136,4.605392933,0,4.587908745,0
137,4.582159996,0,4.666921139,0
138,4.595040321,3.125,4.585746288,0
139,4.62742424,0,4.537500858,0
140,4.605101109,0,4.536085606,0
141,4.637643814,6.25,4.550311089,0
142,4.623172283,0,4.567909718,3.125
143,4.639662743,0,4.495792389,0
144,4.563996315,0,4.609731197,0
145,4.645850658,6.25,4.555465221,6.25
146,4.661467075,0,4.5007267,6.25
147,4.673602104,0,4.487754822,3.125
148,4.662516594,3.125,4.513107777,3.125
149,4.630381107,0,4.46733284,3.125
150,4.64589262,0,4.562104225,0
151,4.609605312,0,4.534860134,0
152,4.595375538,0,4.593839169,3.125
153,4.639444351,0,4.519867897,0
154,4.624058247,0,4.631773949,0
155,4.558989048,9.375,4.484375954,0
156,4.685846329,0,4.49642849,3.125
157,4.587261677,3.125,4.515427113,3.125
158,4.694899559,0,4.542218685,0
159,4.609704971,0,4.515637398,0
160,4.649325848,0,4.464976311,3.125
161,4.564737797,0,4.626529694,3.125
162,4.564486504,6.25,4.598706722,0
163,4.634473801,0,4.515396595,0
164,4.694250107,0,4.540006638,3.125
